


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
98;15;-8,1125;4,25;0;0,000148716;  4,42324e-13;  30;lokalne;2,21377e-12;  -7,44939e-18;  12;lokalne
99;10;-13,1125;-0,75;0;-0,757741;  1,14834e-05;  30;lokalne;1,76284e-14;  -7,44939e-18;  5;lokalne
100;-83;23,8375;146,701;0;62,727;  -0,921198;  40;globalne;-4,77215;  0,000455469;  5;globalne



Wspolczynnik ekspansji: 2.35
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-48;16,8894;104,49;0;62,7305;  -0,921198;  38;globalne;62,727;  -0,921198;  26;globalne
2;-99;53,49;259,352;0;62,7282;  -0,921198;  42;globalne;-298,658;  1,78394;  5;globalne
3;-50;14,8894;102,49;0;62,7232;  -0,921198;  38;globalne;62,727;  -0,921198;  38;globalne
4;20;-44,8894;-7,6125;0;-7,62142;  0,00116172;  34;lokalne;0;  -7,44939e-18;  5;lokalne
5;57;62;68,75;0;62,7249;  -0,921198;  28;globalne;62,727;  -0,921198;  24;globalne
6;99;34,1106;71,3875;0;62,7303;  -0,921198;  34;globalne;77,4218;  0,10673;  5;globalne
7;4;-7,75;-1;0;-1,00684;  2,02745e-05;  28;lokalne;2,59464e-14;  -7,44939e-18;  5;lokalne
8;-75;-10,1106;77,49;0;-0,00285697;  1,63246e-10;  38;lokalne;-2,11829e-07;  -6,55195e-18;  32;lokalne
9;-91;61,49;267,352;0;62,7256;  -0,921198;  42;globalne;nan;  nan;  4;globalne
10;-55;9,88938;97,49;0;62,7251;  -0,921198;  38;globalne;62,727;  -0,921198;  44;globalne
11;-90;62,49;268,352;0;62,7271;  -0,921198;  42;globalne;nan;  nan;  4;globalne
12;90;25,1106;62,3875;0;25,1195;  0,0126204;  34;lokalne;nan;  nan;  4;lokalne
13;3;-8,75;-2;0;-2,00684;  8,0548e-05;  28;lokalne;6,76862e-15;  -7,44939e-18;  5;lokalne
14;96;31,1106;68,3875;0;62,726;  -0,921198;  34;globalne;nan;  nan;  4;globalne
15;-14;-2,25;13,6125;0;0,00471979;  4,45528e-10;  30;lokalne;7,17597e-12;  -7,44939e-18;  12;lokalne
16;-6;-1;5,75;0;-0,00151976;  4,61932e-11;  28;lokalne;4,92553e-13;  -7,44939e-18;  12;lokalne
17;44;55,75;71,6125;0;62,7227;  -0,921198;  30;globalne;62,727;  -0,921198;  30;globalne
18;24;-40,8894;-3,6125;0;-3,62142;  0,000262293;  34;lokalne;1,37174e-14;  -7,44939e-18;  5;lokalne
19;88;23,1106;60,3875;0;23,1195;  0,0106904;  34;lokalne;nan;  nan;  4;lokalne
20;15;-12,6125;3,25;0;0,00201158;  8,09294e-11;  30;lokalne;1,69163e-12;  -7,44939e-18;  10;lokalne
