Sigma;i;x1;x2;f(x);Liczba_wywolan
1;98;-0,000477698;-5,79638e-07;7,25918e-06;1216
1;99;5,04574e-05;0,000422191;5,75118e-06;1357
1;100;0,000236871;-2,92435e-05;1,81206e-06;1735
10;1;0,000116234;-0,000284841;3,01077e-06;693
10;2;-0,000275711;-0,000379138;6,9909e-06;2272
10;3;-0,000380106;-0,00039024;9,44054e-06;1108
10;4;-0,000400087;-0,000228036;6,74621e-06;1531
10;5;-0,000312113;0,000186221;4,20203e-06;1286
10;6;4,52108e-05;-0,000333758;3,60861e-06;1155
10;7;0,000111836;-0,000535826;9,53118e-06;9798
10;8;0,000106867;0,000455665;6,96828e-06;3433
10;9;0,000442262;-0,000148144;6,92027e-06;1715
10;10;-0,000299158;-0,000294835;5,61225e-06;1741
10;11;0,000228524;-0,00035857;5,75133e-06;1566
10;12;-2,1787e-05;0,000168787;9,21371e-07;1855
10;13;9,91096e-06;0,000394546;4,95507e-06;3643
10;14;0,000546384;-2,87185e-05;9,523e-06;1507
10;15;-0,000388767;0,000340883;8,50446e-06;1767
10;16;0,0002779;-0,000483235;9,88515e-06;4110
10;17;0,000307539;0,0002278;4,65948e-06;1722
10;18;-0,000296162;-9,09074e-05;3,05312e-06;1770
10;19;-0,000293312;0,000326031;6,11819e-06;1262
10;20;-0,000315045;0,000452396;9,66791e-06;783
10;21;4,43196e-06;0,000235325;1,76226e-06;1520
10;22;0,000290017;-0,000374832;7,14509e-06;1252
10;23;-0,00052256;4,60067e-05;8,75399e-06;1609
10;24;-0,000407057;0,000122683;5,74977e-06;2471
10;25;-0,000290961;-0,000215529;4,17081e-06;873
10;26;-0,000154754;0,000294082;3,51301e-06;1466
10;27;-0,000238429;-0,000178679;2,82402e-06;3582
10;28;0,000365087;-0,000104826;4,58964e-06;1438
10;29;-0,000172839;-0,000341808;4,66689e-06;1461
10;30;0,000397811;6,13704e-08;5,03424e-06;1157
10;31;8,89513e-05;-0,000297664;3,0703e-06;5365
10;32;0,000109657;0,000368161;4,69429e-06;1291
10;33;0,0001598;-0,000401018;5,92808e-06;2411
10;34;0,000324892;-0,000403424;8,53511e-06;1043
10;35;0,000416041;-0,000292109;8,22057e-06;1299
10;36;-0,00040697;-0,00024116;7,11879e-06;1435
10;37;-0,000222619;2,17578e-05;1,59159e-06;1476
10;38;9,8283e-05;0,000189514;1,4498e-06;1119
10;39;-0,000129096;0,000467816;7,49211e-06;1425
10;40;0,000134341;0,000490917;8,2406e-06;2064
10;41;0,000492168;-2,95368e-05;7,73337e-06;1747
10;42;-9,43691e-05;-0,000229209;1,95456e-06;1192
10;43;-0,000395179;0,000326984;8,36906e-06;2671
10;44;9,77875e-05;0,000289315;2,96689e-06;2365
10;45;-0,000227257;-3,48653e-05;1,68158e-06;1673
10;46;-0,000111323;0,000262994;2,59448e-06;1296
10;47;-0,000240495;8,37156e-05;2,06283e-06;980
10;48;-3,40282e-05;0,000296319;2,83002e-06;1157
10;49;-2,02277e-05;-0,00018084;1,05334e-06;1776
10;50;0,000282287;0,000257574;4,6454e-06;1279
10;51;-9,56011e-05;-0,000416341;5,8049e-06;1065
10;52;-5,91334e-05;8,94316e-06;1,13781e-07;1088
10;53;0,000303963;-0,000383687;7,62225e-06;1334
10;54;0,000296241;0,000465923;9,69743e-06;3259
10;55;0,000322469;0,00030657;6,29771e-06;1481
10;56;-0,000118012;0,000490966;8,11104e-06;1384
10;57;-0,000422533;-0,000364091;9,89636e-06;1525
10;58;-5,17831e-05;-0,000130198;6,24549e-07;1237
10;59;0,00044212;1,79406e-05;6,22839e-06;1243
10;60;4,69472e-05;-0,000260066;2,22165e-06;1375
10;61;-0,000261861;-0,000310222;5,24276e-06;1553
10;62;-0,000383228;-0,000255935;6,75563e-06;2305
10;63;1,117e-05;0,000219356;1,53463e-06;1395
10;64;-0,000312479;0,000187121;4,21999e-06;1150
10;65;-6,17123e-07;0,000402962;5,16548e-06;1948
10;66;-5,84307e-05;-0,000195921;1,32969e-06;3195
10;67;0,000452744;1,48638e-05;6,52761e-06;1096
10;68;-0,000126843;0,000460045;7,24439e-06;907
10;69;-0,000326325;0,000431222;9,30289e-06;2101
10;70;0,000517452;-0,000182326;9,57517e-06;2118
10;71;0,000380032;-0,000144168;5,25548e-06;1066
10;72;-0,000463848;-0,000303584;9,77617e-06;1236
10;73;-0,000315999;-8,56735e-05;3,41002e-06;1088
10;74;5,51961e-05;0,000421336;5,74417e-06;1428
10;75;4,1235e-05;0,00046729;7,0004e-06;891
10;76;-0,000228929;-0,000245186;3,57954e-06;1191
10;77;-0,000274532;0,000420483;8,02197e-06;2044
10;78;0,000548988;-5,70524e-05;9,69105e-06;2153
10;79;-0,000517599;-0,000164928;9,38779e-06;1346
10;80;-0,000238229;-7,7843e-05;1,99815e-06;1346
10;81;-0,000410811;5,22563e-06;5,36952e-06;2716
10;82;0,000458476;0,000104056;7,03116e-06;2601
10;83;-0,000364738;0,000352911;8,19394e-06;1212
10;84;-0,000465515;-5,58834e-05;6,99296e-06;1191
10;85;-0,000146494;-0,000321384;3,96839e-06;870
10;86;-0,000382686;8,3442e-06;4,66092e-06;1063
10;87;1,01705e-05;0,000164906;8,6837e-07;1484
10;88;-0,000340384;-0,000230233;5,37191e-06;1361
10;89;0,000204682;-0,000393097;6,24835e-06;898
10;90;-8,77959e-05;-0,000534181;9,32251e-06;956
10;91;0,000144544;-6,97926e-05;8,1958e-07;1812
10;92;-6,19856e-05;-0,000146084;8,01097e-07;1333
10;93;0,000284489;0,000353009;6,53877e-06;8011
10;94;0,000214431;-0,00040098;6,57745e-06;1245
10;95;-0,000281022;-0,000376668;7,02558e-06;1712
10;96;-0,000297348;-0,000202273;4,11415e-06;2054
10;97;6,6288e-05;0,000115791;5,66291e-07;1507
10;98;-0,000358033;6,85025e-05;4,22707e-06;1083
10;99;-1,49346e-05;-0,000546655;9,51328e-06;1478
10;100;-0,000199734;0,000309749;4,32119e-06;1122
100;1;0,000237853;0,000419219;7,39033e-06;1312
100;2;-0,000234496;-0,000109527;2,13086e-06;1944
100;3;-0,000264821;-0,000314749;5,38236e-06;1681
100;4;0,000234002;-0,000347483;5,58292e-06;4542
100;5;0,0005492;-4,14212e-05;9,64949e-06;2614
100;6;0,00044249;0,000329699;9,68646e-06;1823
100;7;0,000262856;0,000379966;6,79066e-06;3559
100;8;-0,000168347;0,000412771;6,32154e-06;2816
100;9;4,32267e-05;0,000419374;5,65423e-06;3379
100;10;0,000161949;-0,000101907;1,16469e-06;2116
100;11;-5,43942e-06;0,000441339;6,19713e-06;2807
100;12;0,000146339;-0,00021549;2,15842e-06;2621
100;13;0,000545237;-2,63731e-05;9,47908e-06;3824
100;14;-0,000117954;0,000207877;1,81726e-06;2584
100;15;5,68116e-05;0,000128796;6,30369e-07;1947
100;16;0,000259243;3,1415e-05;2,16932e-06;2925
100;17;-0,000199027;4,23184e-05;1,31706e-06;1528
100;18;-0,000214066;-0,000313337;4,58096e-06;1831
100;19;0,000184931;0,000238278;2,89405e-06;1988
100;20;-7,57315e-06;0,000536425;9,15556e-06;2638
100;21;-0,00024119;-0,00034956;5,73763e-06;1903
100;22;5,63358e-05;-0,000112732;5,05236e-07;2891
100;23;-0,00018094;5,0797e-05;1,12357e-06;3448
100;24;3,37176e-05;-0,00054182;9,37493e-06;3521
100;25;8,63632e-05;-3,34487e-05;2,72858e-07;3465
100;26;-0,000274716;0,000204217;3,72743e-06;3897
100;27;-7,09777e-05;-0,000519527;8,74638e-06;4916
100;28;0,000144409;0,000322114;3,96404e-06;2423
100;29;-0,000269955;0,000277808;4,77337e-06;2701
100;30;-0,000308635;-0,000376309;7,53494e-06;4100
100;31;5,45878e-05;-0,00030394;3,03351e-06;3567
100;32;0,000458934;0,000305735;9,6736e-06;2132
100;33;-3,01506e-05;7,77625e-05;2,21281e-07;4612
100;34;-0,000474384;0,000130859;7,70353e-06;3096
100;35;3,83929e-05;0,000391445;4,9213e-06;2287
100;36;-7,06865e-05;-0,000477796;7,4211e-06;3941
100;37;0,000215097;-0,000346306;5,28685e-06;2372
100;38;-0,000545171;7,96846e-05;9,65666e-06;2557
100;39;0,000456946;-4,16053e-05;6,69724e-06;2243
100;40;-9,41105e-05;-0,000462413;7,0838e-06;2333
100;41;0,000315166;2,5924e-05;3,18117e-06;3619
100;42;1,1167e-05;-0,000170926;9,33358e-07;2186
100;43;0,000514063;0,000142598;9,05332e-06;1557
100;44;-0,000120741;-5,32083e-06;4,64658e-07;5296
100;45;-0,000376128;5,85069e-05;4,6093e-06;2123
100;46;-0,000222398;4,62078e-05;1,64133e-06;3080
100;47;-0,000204683;-0,000394856;6,29246e-06;2513
100;48;-0,00045274;-0,000297106;9,32849e-06;2816
100;49;-0,000116205;-6,45185e-05;5,61988e-07;1829
100;50;-0,000375171;0,00012984;5,01383e-06;2602
100;51;-0,000422142;0,00017377;6,62947e-06;3104
100;52;-0,000499471;-2,84997e-05;7,96183e-06;5315
100;53;7,49289e-05;0,000109064;5,56994e-07;4756
100;54;8,07367e-05;8,06144e-05;4,1409e-07;2884
100;55;9,07268e-05;-2,18709e-05;2,77066e-07;3796
100;56;-0,00028565;4,18897e-05;2,65149e-06;5851
100;57;-4,86973e-05;-0,000516898;8,57487e-06;2547
100;58;-0,000168492;-2,03708e-05;9,16311e-07;3128
100;59;0,000251573;-0,000166134;2,89131e-06;3497
100;60;-0,000118824;-0,000291853;3,15877e-06;3451
100;61;8,12197e-06;-0,000497461;7,87435e-06;2302
100;62;0,000107402;-0,000296038;3,15484e-06;1801
100;63;-8,85888e-05;-0,000187238;1,3649e-06;2301
100;64;-0,000265832;0,000470042;9,27636e-06;1796
100;65;-0,00600223;0,00277762;0,00139127;10020
100;66;0,00011983;6,98126e-05;6,1183e-07;9160
100;67;-0,00232481;-6,91975e-05;0,00017208;10020
100;68;-1,69728e-05;-4,38219e-06;9,77497e-09;2589
