Czas;x1_sym;x2_sym;x1_exp;x2_exp
74,8;1,1601;2,29404;1;2
74,9;1,15965;2,29426;1;2
75;1,1592;2,29448;1;2
75,1;1,15874;2,29471;1;2
75,2;1,15829;2,29493;1;2
75,3;1,15783;2,29516;1;2
75,4;1,15737;2,29538;1;2
75,5;1,1569;2,29561;1;2
75,6;1,15644;2,29584;1;2
75,7;1,15597;2,29607;1;2
75,8;1,1555;2,2963;1;2
75,9;1,15503;2,29653;1;2
76;1,15455;2,29676;1;2
76,1;1,15407;2,29699;1;2
76,2;1,15359;2,29723;1;2
76,3;1,15311;2,29746;1;2
76,4;1,15263;2,2977;1;2
76,5;1,15214;2,29794;1;2
76,6;1,15165;2,29818;1;2
76,7;1,15116;2,29842;1;2
76,8;1,15066;2,29866;1;2
76,9;1,15017;2,2989;1;2
77;1,14967;2,29914;1;2
77,1;1,14916;2,29939;1;2
77,2;1,14866;2,29964;1;2
77,3;1,14815;2,29988;1;2
77,4;1,14764;2,30013;1;2
77,5;1,14713;2,30038;1;2
77,6;1,14661;2,30063;1;2
77,7;1,1461;2,30089;1;2
77,8;1,14558;2,30114;1;2
