


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-48;16,8894;104,49;0;71,0296;  -0,245756;  22;globalne;62,727;  -0,921198;  11;globalne
2;-99;53,49;259,352;0;60,4153;  -0,84427;  24;globalne;156,421;  0,489349;  4;globalne
3;-50;14,8894;102,49;0;69,0296;  -0,456893;  22;globalne;62,727;  -0,921198;  14;globalne
4;20;-44,8894;-7,6125;0;1,18737;  2,81972e-05;  20;lokalne;-26,2509;  0,0137822;  4;lokalne
5;57;62;68,75;0;62,7519;  -0,921189;  17;globalne;62,727;  -0,921198;  9;globalne
6;99;34,1106;71,3875;0;56,8177;  -0,51192;  20;globalne;52,7491;  -0,138554;  4;globalne
7;4;-7,75;-1;0;-0,0163871;  5,37077e-09;  17;lokalne;-4,375;  0,000382813;  4;lokalne
8;-75;-10,1106;77,49;0;-2,39545;  0,000114763;  22;lokalne;-2,11829e-07;  -6,55195e-18;  11;lokalne
9;-91;61,49;267,352;0;62,4615;  -0,920141;  24;globalne;164,421;  0,540684;  4;globalne
10;-55;9,88938;97,49;0;64,0296;  -0,895943;  22;globalne;62,727;  -0,921198;  15;globalne
11;-90;62,49;268,352;0;62,7339;  -0,921197;  24;globalne;165,421;  0,547281;  4;globalne
12;90;25,1106;62,3875;0;25,1195;  0,0126204;  20;lokalne;43,7491;  0,0470649;  4;lokalne
13;3;-8,75;-2;0;1,76061;  6,19948e-05;  17;lokalne;-5,375;  0,000577812;  4;lokalne
14;96;31,1106;68,3875;0;62,9489;  -0,920459;  20;globalne;49,7491;  0,0022455;  4;globalne
15;-14;-2,25;13,6125;0;-0,0741355;  1,09921e-07;  18;lokalne;7,17597e-12;  -7,44939e-18;  6;lokalne
16;-6;-1;5,75;0;-0,0751737;  1,13022e-07;  17;lokalne;4,92553e-13;  -7,44939e-18;  6;lokalne
17;44;55,75;71,6125;0;63,2392;  -0,917262;  18;globalne;62,727;  -0,921198;  11;globalne
18;24;-40,8894;-3,6125;0;-0,251469;  1,26474e-06;  20;lokalne;-22,2509;  0,00990208;  4;lokalne
19;88;23,1106;60,3875;0;23,1195;  0,0106904;  20;lokalne;41,7491;  0,040951;  4;lokalne
20;15;-12,6125;3,25;0;-3,03701;  0,000184469;  18;lokalne;1,69163e-12;  -7,44939e-18;  6;lokalne
21;4;-7,75;-1;0;-0,0163871;  5,37077e-09;  17;lokalne;-4,375;  0,000382813;  4;lokalne
22;-51;13,8894;101,49;0;68,0296;  -0,567698;  22;globalne;62,727;  -0,921198;  14;globalne
23;-99;53,49;259,352;0;60,4153;  -0,84427;  24;globalne;156,421;  0,489349;  4;globalne
24;-41;-13,3875;23,8894;0;0,0560305;  6,27883e-08;  20;lokalne;2,34084e-13;  -7,44939e-18;  7;lokalne
25;-81;71,49;277,352;0;71,4972;  -0,20165;  24;globalne;174,421;  0,608452;  4;globalne
