


Wspolczynnik ekspansji: 1.38
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
40;-50;-3,2119;3,80632;17;0,00212005;  8,9892e-11;  28;lokalne;2,53067e-13;  -7,15717e-18;  12;lokalne
41;82;58,738;61,7722;11;61,7642;  -0,906739;  24;globalne;63,2484;  -0,917393;  5;globalne
42;-71;0,158858;10,8327;20;0,165542;  5,48082e-07;  30;lokalne;-2,05769e-09;  -7,15708e-18;  5;lokalne
43;-88;6,10759;20,2237;22;6,11643;  0,000748214;  30;lokalne;2,76036e-05;  1,5232e-14;  5;lokalne
44;68;62,25;63;1;62,7472;  -0,921148;  18;globalne;62,7482;  -0,921148;  18;globalne
45;-83;-1,16731;11,1076;21;0,000993328;  1,9734e-11;  30;lokalne;2,51411e-12;  -7,15717e-18;  12;lokalne
46;-61;0,877268;10,1589;19;0,886672;  1,57237e-05;  28;lokalne;-1,68701e-09;  -7,15711e-18;  5;lokalne
47;-28;-1,24875;2,76394;13;0,00110404;  2,43779e-11;  26;lokalne;2,7366e-13;  -7,15717e-18;  12;lokalne
48;17;-3,22779;-0,589381;10;-0,59638;  7,11338e-06;  24;lokalne;9,38603e-14;  -7,15717e-18;  5;lokalne
49;16;-1,58938;0,704886;9;-0,0040724;  3,31689e-10;  22;lokalne;2,44103e-13;  -7,15717e-18;  10;lokalne
50;21;-2,26196;0,772211;11;-0,00041509;  3,44598e-12;  24;lokalne;2,58525e-13;  -7,15717e-18;  12;lokalne
51;94;58,6215;63,2361;14;62,7519;  -0,921148;  26;globalne;62,7482;  -0,921148;  24;globalne
52;4;-1,75;-1;1;-1,00843;  2,03385e-05;  18;lokalne;1,12436e-13;  -7,15717e-18;  5;lokalne
53;-59;2,87727;12,1589;19;2,88667;  0,000166657;  28;lokalne;-1,41338e-08;  -7,15317e-18;  5;lokalne
54;78;60,4106;62,7049;9;62,695;  -0,921106;  22;globalne;62,7893;  -0,921123;  5;globalne
55;-72;-0,841142;9,83269;20;0,00100126;  2,00505e-11;  30;lokalne;1,42295e-12;  -7,15717e-18;  12;lokalne
56;-19;1,22779;4,26196;11;1,23584;  3,05459e-05;  24;lokalne;-1,40896e-11;  -7,15717e-18;  5;lokalne
57;86;59,2487;62,738;12;62,7288;  -0,921143;  24;globalne;62,8799;  -0,920888;  5;globalne
58;80;59,7722;62,4106;10;62,4036;  -0,919369;  24;globalne;62,872;  -0,920918;  5;globalne
59;29;-6,37853;-1,76394;14;-1,7715;  6,27645e-05;  26;lokalne;1,94188e-14;  -7,15717e-18;  5;lokalne
60;9;-1,05679;0,254969;5;-9,46615e-05;  1,79209e-13;  20;lokalne;2,30372e-13;  -7,15717e-18;  12;lokalne
61;-17;0,589381;3,22779;10;0,59638;  7,11338e-06;  24;lokalne;-2,79928e-12;  -7,15717e-18;  5;lokalne
62;-2;-7;3;0;0,000626174;  7,84187e-12;  30;lokalne;9,29167e-13;  -7,15717e-18;  12;lokalne
63;8;-0,745031;0,395625;4;-0,000436198;  3,80537e-12;  20;lokalne;2,28981e-13;  -7,15717e-18;  12;lokalne
64;100;59,3147;64,6215;15;62,751;  -0,921148;  26;globalne;62,7482;  -0,921148;  24;globalne
65;-88;6,10759;20,2237;22;6,11643;  0,000748214;  30;lokalne;2,76036e-05;  1,5232e-14;  5;lokalne
66;-91;3,10759;17,2237;22;3,11643;  0,000194243;  30;lokalne;4,70111e-07;  -2,73708e-18;  5;lokalne
67;56;62,6125;63,6044;3;62,7503;  -0,921148;  20;globalne;62,7482;  -0,921148;  18;globalne
68;-52;1,80632;9,87727;18;1,8145;  6,5848e-05;  28;lokalne;-2,02663e-09;  -7,15708e-18;  5;lokalne
69;-67;4,15886;14,8327;20;4,16554;  0,000347035;  30;lokalne;-4,74118e-08;  -7,11221e-18;  5;lokalne
70;-90;4,10759;18,2237;22;4,11643;  0,0003389;  30;lokalne;2,18819e-06;  8,86067e-17;  5;lokalne
71;-43;-2,31469;3,7881;16;-0,00218346;  9,53498e-11;  28;lokalne;2,94617e-13;  -7,15717e-18;  12;lokalne
72;-80;1,83269;14,1076;21;1,84037;  6,77395e-05;  30;lokalne;-2,47401e-08;  -7,14492e-18;  5;lokalne
73;75;61,6999;63,4347;7;62,7497;  -0,921148;  22;globalne;62,7482;  -0,921148;  16;globalne
74;40;-6,7881;-0,685308;16;-0,691491;  9,56321e-06;  28;lokalne;4,27397e-14;  -7,15717e-18;  5;lokalne
75;49;62,3001;64,2951;8;62,7453;  -0,921148;  22;globalne;62,7482;  -0,921148;  20;globalne
76;87;60,2487;63,738;12;62,7477;  -0,921148;  24;globalne;62,7482;  -0,921148;  20;globalne
77;13;-2,29511;-0,300099;8;-0,308662;  1,90544e-06;  22;lokalne;1,39616e-13;  -7,15717e-18;  5;lokalne
78;-31;-0,236062;4,37853;14;-0,00154991;  4,80442e-11;  26;lokalne;2,78171e-13;  -7,15717e-18;  12;lokalne
79;-2;-7;3;0;0,000626174;  7,84187e-12;  30;lokalne;9,29167e-13;  -7,15717e-18;  12;lokalne
80;-77;4,83269;17,1076;21;4,84037;  0,000468584;  30;lokalne;6,2257e-07;  5,9469e-19;  5;lokalne
81;90;59,2361;63,2487;13;62,7488;  -0,921148;  26;globalne;62,7482;  -0,921148;  24;globalne
82;-43;-2,31469;3,7881;16;-0,00218346;  9,53498e-11;  28;lokalne;2,94617e-13;  -7,15717e-18;  12;lokalne
83;66;60,25;61;1;60,9916;  -0,875978;  18;globalne;63,0716;  -0,919578;  5;globalne
84;79;61,4106;63,7049;9;62,7498;  -0,921148;  22;globalne;62,7482;  -0,921148;  16;globalne
85;79;61,4106;63,7049;9;62,7498;  -0,921148;  22;globalne;62,7482;  -0,921148;  16;globalne
86;41;-5,7881;0,314692;16;-0,0006502;  8,45519e-12;  28;lokalne;2,52734e-13;  -7,15717e-18;  12;lokalne
87;96;55,3147;60,6215;15;60,6128;  -0,855129;  26;globalne;70,8751;  -0,262735;  5;globalne
88;-36;-0,621471;4,68531;15;-0,00379686;  2,88323e-10;  26;lokalne;3,48498e-13;  -7,15717e-18;  12;lokalne
89;-43;-2,31469;3,7881;16;-0,00218346;  9,53498e-11;  28;lokalne;2,94617e-13;  -7,15717e-18;  12;lokalne
90;30;-5,37853;-0,763938;14;-0,771503;  1,19043e-05;  26;lokalne;5,11951e-14;  -7,15717e-18;  5;lokalne
91;-24;-0,738043;2,75125;12;0,00239062;  1,14302e-10;  24;lokalne;2,72106e-13;  -7,15717e-18;  12;lokalne
92;-52;1,80632;9,87727;18;1,8145;  6,5848e-05;  28;lokalne;-2,02663e-09;  -7,15708e-18;  5;lokalne
93;37;-3,68531;1,62147;15;0,00333847;  2,22907e-10;  26;lokalne;3,51054e-13;  -7,15717e-18;  12;lokalne
94;-27;-0,248749;3,76394;13;0,00122123;  2,9828e-11;  26;lokalne;2,66671e-13;  -7,15717e-18;  12;lokalne
95;-59;2,87727;12,1589;19;2,88667;  0,000166657;  28;lokalne;-1,41338e-08;  -7,15317e-18;  5;lokalne
96;58;63;63,75;1;63,0084;  -0,920131;  18;globalne;62,7431;  -0,921148;  5;globalne
97;-76;-4,84114;5,83269;20;-0,00216118;  9,34139e-11;  30;lokalne;2,84182e-13;  -7,15717e-18;  12;lokalne
98;-71;0,158858;10,8327;20;0,165542;  5,48082e-07;  30;lokalne;-2,05769e-09;  -7,15708e-18;  5;lokalne
99;70;61,255;62,3956;4;62,3877;  -0,919201;  20;globalne;62,7711;  -0,92114;  5;globalne
100;20;-3,26196;-0,227789;11;-0,235837;  1,11238e-06;  24;lokalne;1,17607e-13;  -7,15717e-18;  5;lokalne



Wspolczynnik ekspansji: 1.15
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-83;-1,16731;11,1076;21;0,000993328;  1,9734e-11;  30;lokalne;2,51411e-12;  -7,15717e-18;  12;lokalne
2;-29;1,76394;6,37853;14;1,7715;  6,27645e-05;  26;lokalne;-1,24835e-10;  -7,15717e-18;  5;lokalne
3;-8;-0,395625;0,745031;4;0,000436198;  3,80537e-12;  20;lokalne;2,28499e-13;  -7,15717e-18;  12;lokalne
4;-35;0,378529;5,68531;15;0,387228;  2,99892e-06;  26;lokalne;-2,76107e-11;  -7,15717e-18;  5;lokalne
5;63;58;68;0;62,7464;  -0,921148;  30;globalne;62,7482;  -0,921148;  18;globalne
6;19;-4,26196;-1,22779;11;-1,23584;  3,05459e-05;  24;lokalne;4,65771e-14;  -7,15717e-18;  5;lokalne
7;36;-4,68531;0,621471;15;0,00379686;  2,88323e-10;  26;lokalne;2,77276e-13;  -7,15717e-18;  12;lokalne
8;-54;-0,19368;7,87727;18;0,00257408;  1,32518e-10;  28;lokalne;4,11479e-13;  -7,15717e-18;  12;lokalne
9;-38;-2,62147;2,68531;15;-0,00288007;  1,65896e-10;  26;lokalne;2,27362e-13;  -7,15717e-18;  12;lokalne
10;-88;6,10759;20,2237;22;6,11643;  0,000748214;  30;lokalne;2,76036e-05;  1,5232e-14;  5;lokalne
11;51;62,5653;64,3001;7;62,7514;  -0,921148;  22;globalne;62,7482;  -0,921148;  16;globalne
12;85;58,2487;61,738;12;61,7288;  -0,905693;  24;globalne;63,447;  -0,913829;  5;globalne
13;-29;1,76394;6,37853;14;1,7715;  6,27645e-05;  26;lokalne;-1,24835e-10;  -7,15717e-18;  5;lokalne
