t(s); V(A); V(B); temp(B);
573; 1,25311; 2,29979; 46,1091; 
574; 1,24875; 2,29898; 46,0883; 
575; 1,2444; 2,29817; 46,0674; 
576; 1,24005; 2,29736; 46,0466; 
577; 1,23572; 2,29654; 46,0257; 
578; 1,23139; 2,29572; 46,0047; 
579; 1,22707; 2,29489; 45,9837; 
580; 1,22275; 2,29405; 45,9627; 
581; 1,21845; 2,29321; 45,9416; 
582; 1,21415; 2,29237; 45,9205; 
583; 1,20986; 2,29152; 45,8994; 
584; 1,20558; 2,29067; 45,8782; 
585; 1,2013; 2,28981; 45,857; 
586; 1,19703; 2,28895; 45,8357; 
587; 1,19277; 2,28808; 45,8144; 
588; 1,18852; 2,28721; 45,7931; 
589; 1,18427; 2,28633; 45,7717; 
590; 1,18004; 2,28545; 45,7503; 
591; 1,17581; 2,28457; 45,7288; 
592; 1,17158; 2,28367; 45,7073; 
593; 1,16737; 2,28278; 45,6858; 
594; 1,16316; 2,28188; 45,6642; 
595; 1,15896; 2,28097; 45,6426; 
596; 1,15477; 2,28006; 45,621; 
597; 1,15059; 2,27915; 45,5993; 
598; 1,14641; 2,27823; 45,5776; 
599; 1,14224; 2,27731; 45,5558; 
600; 1,13808; 2,27638; 45,534; 
601; 1,13392; 2,27545; 45,5122; 
602; 1,12978; 2,27451; 45,4903; 
603; 1,12564; 2,27357; 45,4684; 
604; 1,12151; 2,27263; 45,4464; 
605; 1,11738; 2,27168; 45,4245; 
606; 1,11327; 2,27072; 45,4024; 
607; 1,10916; 2,26976; 45,3804; 
608; 1,10506; 2,2688; 45,3583; 
609; 1,10096; 2,26783; 45,3361; 
610; 1,09688; 2,26686; 45,3139; 
611; 1,0928; 2,26589; 45,2917; 
612; 1,08873; 2,2649; 45,2695; 
613; 1,08467; 2,26392; 45,2472; 
614; 1,08061; 2,26293; 45,2248; 
615; 1,07656; 2,26194; 45,2025; 
616; 1,07252; 2,26094; 45,1801; 
617; 1,06849; 2,25994; 45,1576; 
618; 1,06447; 2,25893; 45,1351; 
619; 1,06045; 2,25792; 45,1126; 
620; 1,05644; 2,2569; 45,09; 
621; 1,05244; 2,25589; 45,0674; 
622; 1,04844; 2,25486; 45,0448; 
623; 1,04445; 2,25383; 45,0221; 
624; 1,04047; 2,2528; 44,9994; 
625; 1,0365; 2,25177; 44,9767; 
626; 1,03254; 2,25073; 44,9539; 
627; 1,02858; 2,24968; 44,931; 
628; 1,02463; 2,24864; 44,9082; 
629; 1,02069; 2,24758; 44,8853; 
630; 1,01676; 2,24653; 44,8623; 
631; 1,01283; 2,24547; 44,8394; 
632; 1,00891; 2,2444; 44,8163; 
633; 1,005; 2,24333; 44,7933; 
634; 1,0011; 2,24226; 44,7702; 
